ID	log2fold	p	p.adj
ENSG00000229792	0.28	0.608603704121	0.752193930419
ENSG00000278075	0.76	0.10387911748	0.23007968819
ENSG00000055070	0.22	0.0030867199213	0.0195640076409
ENSG00000227413	-0.11	0.726748904378	0.83828425552
ENSG00000227417	-0.15	0.624181402654	0.763825493666
ENSG00000162337	-0.44	0.0612867725566	0.159338599769
ENSG00000155714	0.37	0.307410758326	0.48373515973
ENSG00000251775	-0.45	0.294875818196	0.470912196402
ENSG00000245293	0.48	0.396238768445	NA
ENSG00000164659	-1.19	3.32034686349E-05	0.00107045095621
ENSG00000164654	-0.17	0.120233450344	0.25435978154
ENSG00000149187	-0.06	0.357053570793	0.535098199833
ENSG00000252231	-0.98	0.208071872753	NA
ENSG00000206113	1.42	2.96600535048E-06	0.000237479524033
ENSG00000161021	-0.09	0.428337320374	0.602120972291
ENSG00000254694	-1.2	0.0204952935307	0.0740201407758
ENSG00000254695	2.96	0.000218855808149	0.00341870349951
ENSG00000254691	0.11	0.711594671373	0.827851831041
ENSG00000254693	0.25	0.676248931342	NA
ENSG00000266921	-0.12	0.843207792156	0.91225763689
ENSG00000261604	0.37	0.280527594629	0.456196200765
ENSG00000257345	-0.12	0.75400870336	0.855624988681
ENSG00000119509	0	0.974500395302	0.986852690014
ENSG00000228943	0	0.994092900439	0.997095178109
ENSG00000165309	0.31	0.420329631753	0.595153449233
ENSG00000165304	0.01	0.97941560828	0.989509049648
ENSG00000165300	-0.7	0.0362616551782	0.110593387412
ENSG00000101608	0.5	0.0139504736531	0.0563720774591
ENSG00000101605	0.05	0.727167404457	0.838632048852
ENSG00000129473	0.22	0.0444498083094	0.127827542306
ENSG00000198791	-0.28	0.00365271119886	0.0220090226832
ENSG00000198792	0.35	0.0220293820836	0.0778962042995
ENSG00000198793	-0.24	0.0260488245056	0.0878213281997
ENSG00000198794	-0.63	0.00559150320101	0.0297411315744
ENSG00000198795	-0.21	0.541058733353	0.697578875516
ENSG00000198799	-0.42	9.23651322779E-05	0.00203684001737
ENSG00000175550	0.23	0.128035905565	0.265818178952
ENSG00000175556	0.07	0.714582371225	0.829530846596
ENSG00000204252	-0.59	0.0231386900824	0.0805981853016
ENSG00000161682	-0.02	0.943152361878	0.969716078465
ENSG00000279841	0.45	0.0596670689875	0.156595532899
ENSG00000279845	0.05	0.926472377684	0.960894159353
ENSG00000279846	0.4	0.338698232126	0.51709121425
ENSG00000179428	-0.91	0.0777039438645	0.187719761901
ENSG00000076321	-0.4	0.00145807876137	0.0118362274546
ENSG00000183864	-0.19	0.0278235451873	0.0920648556972
ENSG00000174669	-0.4	0.129398469271	0.267892229724
ENSG00000141543	0.21	0.0507673692799	0.140331796164
ENSG00000167680	2.26	7.59170691225E-07	0.000103526449203
ENSG00000124217	-0.11	0.174092443744	0.329888636412
ENSG00000124214	0.2	0.0993385839372	0.223004905494
ENSG00000124215	0.18	0.3037500092	0.479948073403
ENSG00000247596	0.52	0.000231729162609	0.00354749662223
ENSG00000247595	-0.02	0.936064203576	0.966230370269
ENSG00000161970	-0.04	0.893441692072	0.943182344494
ENSG00000161973	-0.53	0.160594599516	0.311017683424
ENSG00000127884	0.08	0.50761132966	0.670663478087
ENSG00000255274	-0.41	0.0227402079917	0.0796075029843
ENSG00000265625	0.4	0.0306041372056	0.0986114839237
ENSG00000160087	0.34	0.000517185124837	0.00589705364831
ENSG00000036054	-0.24	0.165150257022	0.317634041513
ENSG00000104904	0.42	0.0181765714492	0.067993783145
ENSG00000002587	-0.51	0.0922332212938	0.2117366365
ENSG00000002586	0.28	0.0258914113854	0.087386024162
ENSG00000237868	0.24	0.685825046911	NA
ENSG00000177954	-0.34	0.332314418652	0.51066359211
ENSG00000177951	-0.02	0.806259525148	0.888034443332
ENSG00000280057	-0.84	0.0263530951274	0.0884950808353
ENSG00000237861	-0.35	0.589595935991	NA
ENSG00000280055	-0.48	0.416002266635	NA
ENSG00000280054	0.1	0.67996019904	0.805456322841
